question,all_answers,dummy_pool,,
いと,"たいそう, 非常に","まったく, 少しも, 決して",,
あてなり,"高貴だ, 立派だ","恥ずかしい, 珍しい, 驚くほどだ",,
をかし,"趣がある, すばらしい, 滑稽だ, 美しい","恐ろしい, 悲しい, おかしい",,
あまた,"たくさん, おびただしい","少し, まれに, 非常に",,
げに,"本当に, なるほど","まるで, 決して, おそらく",,
な〜そ,~するな,~したい,~だろう,~してほしい
やがて,"そのまま, すぐに","やがて, ついに, 後で",,
おどろく,"目を覚ます, はっと気づく","驚く, 走る, 叫ぶ",,
ののしる,"大声で騒ぐ, 評判になる","悪口を言う, 喧嘩する, 泣く",,
おこたる,"病気がよくなる, 中断する","サボる, 間違える, 忘れる",,
ながむ,"物思いに沈む, 歌を詠む","眺める, 歩く, 見つめる",,
ねんず,"我慢する, 祈る","寝る, 考える, 騒ぐ",,
しのぶ,"人目を避ける, 懐かしむ, 隠す","忍耐する, 怒る, 喜ぶ",,
いらふ,返事をする,"嫌う, 行く, 笑う",,
ありく,"歩き回る, ~してまわる","存在する, 食べる, 聞く",,
飽く,"満足する, 十分だ","飽きる, 嫌う, 疲れる",,
うつくし,"かわいい, 愛らしい","美しい, 立派だ, 珍しい",,
かなし,"いとしい, かわいい, 悲しい","悔しい, 寂しい, 恐ろしい",,
あやし,"不思議だ, 卑しい, 粗末だ, けしからん","怪しい, 正当だ, 高貴だ",,
おぼつかなし,"不安だ, はっきりしない, 待ち遠しい","恐ろしい, 嬉しい, 詳しい",,
ありがたし,"めったにない, すばらしい","感謝している, 難しい, 生きづらい",,
めでたし,すばらしい,"おめでたい, 珍しい, 賢い",,
おとなし,"大人びている, 分別がある, 思慮がある, 年配だ","静かだ, 幼稚だ, 騒がしい",,
ゆかし,"見たい, 知りたい, 聞きたい, 心惹かれる","行きたい, 美しい, 懐かしい",,
おぼゆ,"思われる, 似る, 思い出す","覚える, 教える, 忘れる",,
かしづく,"大切に育てる, 後見する","かしこまる, 掃除する, 隠居する",,
すまふ,"抵抗する, 断る","住む, 相撲をとる, 納得する",,
あきらむ,"明らかにする, 心を晴らす","諦める, 飽きる, 慰める",,
いみじ,"はなはだしい, すばらしい, ひどい","嬉しい, 悲しい, 普通だ",,
しるし,"はっきりしている, 効き目, 兆候, 証拠","土地の所有, 薬の調合, 偶然",,
びんなし,"不都合だ, 気の毒だ","瓶がない, 貧乏だ, 恥ずかしい",,
いいとほし,"気の毒だ, かわいい","嫌だ, 恐ろしい, 憎らしい",,
いはけなし,子供っぽい,"言い訳がましい, 恐ろしい, 情けない",,
つらし,"薄情だ, 冷淡だ","辛い, 苦しい, 面倒だ",,
ところせし,"窮屈だ, いばっている, おおげさだ","場所が広い, 忙しい, 快適だ",,
めざまし,"気にくわない, すばらしい","目が覚める, 目立つ, 眠い",,
あたらし,"惜しい, もったいない","新しい, 素晴らしい, 恐ろしい",,
まばゆし,"恥ずかしい, まぶしい, 見苦しい","素晴らしい, 美味しい, 遠い",,
むつかし,"不快だ, わずらわしい, 恐ろしい","難しい, 複雑だ, 易しい",,
あふ,"結婚する, 深い仲になる, 我慢する","会う, 似合う, 戦う",,
よばふ,"求婚する, 呼び続ける","叫ぶ, 追いかける, 逃げる",,
ときめく,"寵愛を受ける, 栄える","ドキドキする, 流行する, 期待する",,
おくる,"先立たれる, 遅れる","贈る, 忘れる, 届ける",,
あやにくなり,"あいにくだ, 意地が悪い","突然だ, 激しい, 穏やかだ",,
おぼろげなり,"普通だ, 格別だ","ぼんやりしている, 愚かだ, 詳しい",,
なのめなり,"普通だ, いい加減だ","斜めだ, 格別だ, 正直だ",,
まほなり,完全だ,"魔法のようだ, 真面目だ, 正面だ",,
つごもり,月末,"籠ること, 終わり, 隠れ家",,
たより,"機会, ついで, 縁故, 手紙","頼み, 道具, 住所",,
よし,"理由, 風情, 由緒, 手立て","良い, 方法, 偶然, 悪い",,
いとど,ますます,"決して, 全く, 意外にも",,
おのづから,"たまたま, 自然に, もしかして","自分で, 意識的に, 常に",,
なかなか,"かえって, なまじっか","かなり, 決して, 容易に",,
さすがに,"そうはいってもやはり, さすがに","期待通りに, 案の定, 完全に",,
ここら,"たくさん, たいそう","ここらへん, 少し, 非常に",,
せめて,"強いて, 無理に, 切実に","決して, 攻めて, 緩やかに",,
むべ,なるほど,"おそらく, まさか, 決して",,
かたみに,互いに,"形見に, 強引に, 代わりに",,
いづら,どこ,"どれ, 誰, いつ",,
など,どうして,"何, どこ, 誰",,
いつしか,"早く, いつのまにか","いつでも, 決して, 永遠に",,
とし,早い,"鋭い, 激しい, 豊かだ",,
めづ,"褒める, 愛する, 感嘆する","珍しがる, 驚く, 嫌う",,
まうく,"準備する, 設ける","儲ける, 拾う, 出会う",,
たてまつる,"差し上げる, 召し上がる, お乗りになる","申し上げる, 退出する, 聞く",,
まかる,"退出する, 参ります, 死ぬ","行く, 参上する, 食べる",,
きこしめす,"お聞きになる, 召し上がる, お治めになる","申し上げる, 伝える, 寝る",,
しろしめす,"知っていらっしゃる, お治めになる","召し上がる, 退出する, 忘れる",,
あそばす,"なさる, 演奏なさる, お書きになる","踊られる, 料理する, 走る",,
つかまつる,"お仕えする, いたします, ~し申し上げる","差し上げる, 召し上がる, 寝る",,
候ふ,"お仕えする, あります, ~でございます","行きます, 食べます, 寝ます",,
聞こゆ,"申し上げる, 噂になる, 理解できる","聞こえる, 忘れる, 怒る",,
奏す,"(帝に)申し上げる, 演奏する","報告する, 歌う, 踊る",,
啓す,(中宮等に)申し上げる,"開く, 案内する, 敬う",,
まゐる,"参上する, 差し上げる, 召し上がる, お召しになる","退出する, 寝る, 忘れる",,
賜はる,"いただく, お与えになる","与える, おっしゃる, ~なさる",,
おはす,"いらっしゃる, ~ていらっしゃる","行く, 来る, 帰る",,
おぼす,お思いになる,"覚える, おっしゃる, 願われる",,
おほせらる,"おっしゃる, 命令なさる","褒められる, お思いになる, 忘れる",,
さかし,"賢い, 気の利いている, こざかしい","丈夫だ, 弱い, 愚かだ",,
すきずきし,"物好きだ, 風流だ, 色好みだ","好きだ, 嫌いだ, 無関心だ",,
なまめかし,"優美だ, 若々しい","生意気だ, 艶っぽい, 汚い",,
いまめかし,"現代風だ, 華やかだ","今さらだ, 派手だ, 古臭い",,
しどけなし,"くつろいでいる, だらしない","厳しい, 謙虚だ, 丁寧だ",,
なつかし,"心惹かれる, 親しみやすい","懐かしい, 優しい, 恐ろしい",,
めやすし,"見見苦しくない, 感じがよい","見やすい, 目安だ, 素晴らしい",,
やさし,"恥ずかしい, 優雅だ, けなげだ","優しい, 強い, 恐ろしい",,
らうらうじ,"洗練されている, 才気がある","騒々しい, 朗らかだ, 丁寧だ",,
さらなり,言うまでもない,"更地だ, 新しい, 意外だ",,
ねんごろなり,"熱心だ, 親しい, 丁寧だ","穏やかだ, 適当だ, 冷淡だ",,
すずろなり,"なんとなく, 思いがけない, むやみだ","冷淡だ, 計画的だ, 常に",,
むげなり,"最低だ, ひどい, まったく(~ない)","無限だ, 素晴らしい, 普通だ",,
けしかなり,"異様だ, けしからぬ, はなはだしい","素晴らしい, 恐ろしい, 穏やかだ",,
うへ,"天皇, 御座所, 北の方","上の方, 外側, 臣下",,
おほやけ,"朝廷, 帝, 公的なこと","公共の場, 庶民, 秘密",,
うち,"宮中, 帝","内側, 心の中, 庶民",,
きは,"身分, 程度, 端","際, 中心, 永遠",,
ことわり,道理,"説明, 理由, 分別",,
ついで,"機会, 順序","続き, 序文, 偶然",,
沙汰,"処置, 命令, 訴訟, 噂","感謝, 休憩, 遊び",,
消息,"手紙, 訪問の案内","様子, ニュース, 過去",,
ほど,"時, あたり, 身分, 程度","距離, 永遠, 瞬間",,
あからめ,わき見,"赤い目, 隠し事, 嘘",,
あそび,詩歌管弦,"散歩, かくれんぼ, 狩り",,
あだなり,"浮気だ, はかない, 無駄だ","突然だ, 誠実だ, 永遠だ",,
あぢきなし,"おもしろくない, どうしようもない","味がない, 忙しい, 苦しい",,
あらまほし,理想的だ,"現実的だ, 荒々しい, 珍しい",,
いぎたなし,寝坊だ,"見苦しい, 汚い, 醜い",,
いさ,"さあどうかな, いや","はい, もしかして, 確かに",,
いざ,さあ(誘い),"いざという時, 行こう, もし",,
いそぎ,準備,"急行, 忙しさ, 祭事",,
いたづらなり,"無駄だ, むなしい","悪戯だ, 退屈だ, 寂しい",,
いつく,"大切に育てる, 斎き祀る","凍りつく, 落ち着く, 捨てる",,
うしろめたし,不安だ,"後ろめたい, 秘密だ, 恥ずかしい",,
うしろやすし,安心だ,"後ろに安い, 簡単だ, 裕福だ",,
うたて,"いやなことに, 異様に","歌を, 突然に, ますます",,
うちつけなり,"突然だ, 軽率だ","ぶつける, 露骨だ, 慎重だ",,
うとし,疎遠だ,"疎い, 嫌いだ, 怖い",,
おこなひ,仏道修行,"実行, 振る舞い, 遊び",,
おぼえ,"寵愛, 評判","記憶, 予感, 忘却",,
おもしろし,"趣がある, すばらしい","おかしい, 明るい, 怖い",,
おもて,顔,"表面, 表情, 面目",,
およすぐ,"大人になる, 成長する, 落ち着く","似る, 及ぶ, 若返る",,
かまへて,"必ず, 決して(~ない)","構えて, まさか, 適当に",,
からうじて,やっとのことで,"辛そうに, 決して, 急いで",,
おろかなり,"いい加減だ, 言い尽くせない, 未熟だ","愚かだ, 賢い, 丁寧だ",,
つきづきし,"似つかわしい, ふさわしい","月が出ている, 好きだ, 汚い",,
らうたし,"かわいい, いとしい","うるさい, 騒がしい, 乱暴だ",,
さうざうし,"物足りない, 寂しい","騒々しい, 楽しい, 忙しい",,
あがふ,"つぐなう, 贖う","あがめる, 拾う, 捨てる",,
しる,"治める, 領有する, 知る","汁を出す, 走る, 忘れる",,
まねぶ,"真似る, 伝える, 学ぶ","招く, 食べる, 寝る",,
ねぶ,"大人びる, 成長する","寝る, 練る, 粘る",,
掟つ,"計画する, 指図する","掟を作る, 置き去りにする, 起きる",,
ささはる,"差し支える, 邪魔される","触る, 障子を閉める, 助ける",,
具す,"連れて行く, 備わる, 伴う","具材を入れる, 料理する, 壊す",,
あへず,"耐えられない, ~しきれない","会えない, 合わない, 食べない",,
